x	y
0.006961325966850828	97.59036144578313
0.014309392265193368	96.50602409638554
0.021270718232044197	88.73493975903614
0.038674033149171277	73.73493975903614
0.028618784530386736	80.60240963855422
0.053370165745856346	67.95180722891567
0.07270718232044197	    63.0722891566265
0.10364640883977899	    57.83132530120482
0.16281767955801102	    47.71084337349397
0.22160220994475135	    35.42168674698795
0.1925966850828729	    41.74698795180723
0.24944751381215466	    28.734939759036145
0.27613259668508283	    21.50602409638554
0.3047513812154696	    13.012048192771084
0.32911602209944746	    4.879518072289157
