pi0_s1,pi0_s2,pi1_s1,D_ts,phi,ny,x1,sty_ts,D_os,x_os,sty_os,pi0_ratio,pi1_ratio,TS_adv,errors
0.02,2.0,0.18981481481481488,0.1,0.6499999999999999,0.7299999999999999,18.635636956518415,18.01577770986192,0.24,18.67735618330191,1.224404460905348,0.01,0.8200000000000001,13.71391054598144,
0.02,2.0,0.04336734693877551,0.1,0.6299999999999999,0.7099999999999999,20.413197944207656,18.43581520191928,0.21,20.687830270497535,0.6021636310876961,0.01,0.51,29.615955946423437,
0.02,2.0,0.003623188405797102,0.1,0.6299999999999999,0.7099999999999999,20.60565149040601,18.55803206588872,0.15,22.012002044303884,0.45220308547537336,0.01,0.08,40.03915400395776,
0.02,2.0,0.04891304347826088,0.1,0.6299999999999999,0.7099999999999999,20.385925268876644,18.418306783984857,0.21,20.658116779435524,0.6253571220731299,0.01,0.54,28.452461855597132,
0.02,2.0,0.004120879120879121,0.1,0.6299999999999999,0.7099999999999999,20.6032766180155,18.55653919444467,0.15,22.008213053385745,0.4537682389166484,0.01,0.09,39.894310361491115,
0.02,2.0,0.014639639639639641,0.1,0.6299999999999999,0.7099999999999999,20.552865457440845,18.52475591014284,0.17,21.7606837301099,0.48937033118276435,0.01,0.26,36.85426849512957,
0.02,2.0,0.0026595744680851063,0.1,0.6299999999999999,0.7099999999999999,20.610246950608826,18.560919666982137,0.14,22.054444003603155,0.4493006411372345,0.01,0.06,40.310690365369155,
0.02,2.0,0.011752136752136754,0.1,0.6299999999999999,0.7099999999999999,20.56674473230559,18.53352425835629,0.17,21.781255368742375,0.47914107696838193,0.01,0.22,37.680725049961225,
0.02,2.0,0.0012886597938144332,0.1,0.6299999999999999,0.7099999999999999,20.61677866577762,18.56502129553207,0.14,22.065089748246425,0.44528261012569453,0.01,0.03,40.692670841763906,
0.02,2.0,0.018719806763285027,0.1,0.6299999999999999,0.7099999999999999,20.53320185512397,18.51231073732406,0.18,21.58859204876202,0.5045160098351994,0.01,0.31,35.69320770092335,
0.02,2.0,0.000850340136054422,0.1,0.6299999999999999,0.7099999999999999,20.618865505538338,18.566331083267364,0.14,22.068495071918072,0.44399710323263747,0.01,0.02,40.81633381859998,
0.02,2.0,0.005681818181818182,0.1,0.6299999999999999,0.7099999999999999,20.595822028214567,18.551850522316762,0.15,21.996334778688073,0.458673571805598,0.01,0.12,39.44673960456499,
0.02,2.0,0.004629629629629629,0.1,0.6299999999999999,0.7099999999999999,20.60084799293028,18.55501211349902,0.15,22.00434071906216,0.4553676065472586,0.01,0.1,39.747325560087596,
0.02,2.0,0.03549382716049383,0.1,0.6299999999999999,0.7099999999999999,20.45175203405091,18.460489921424465,0.2,21.04414244249298,0.5702702797687913,0.01,0.46,31.371474678478826,
0.02,2.0,0.27884615384615385,0.1,0.6499999999999999,0.7099999999999999,18.987974845720906,17.980188080784263,0.25,17.753661111937184,1.5927082516766724,0.01,0.87,10.289065691633228,
0.02,2.0,0.30555555555555564,0.1,0.6499999999999999,0.7099999999999999,18.856509736659277,17.888437478456662,0.25,17.65991152323517,1.7022192496007236,0.01,0.88,9.508891544172476,
0.02,2.0,0.0205223880597015,0.1,0.6299999999999999,0.7099999999999999,20.524495681475646,18.506792246502272,0.18,21.576366525445184,0.5112310725245408,0.01,0.33,35.20044484994383,
0.02,2.0,0.025537634408602152,0.1,0.6299999999999999,0.7099999999999999,20.500212773481852,18.491373778406842,0.19,21.35213459313059,0.5306464632083127,0.01,0.38,33.84688028750282,
0.02,2.0,0.03846153846153846,0.1,0.6299999999999999,0.7099999999999999,20.43724347292372,18.451215036051053,0.2,21.02664739693083,0.5822763894534692,0.01,0.48,30.68807008192374,
0.02,2.0,0.003136200716845879,0.1,0.6299999999999999,0.7099999999999999,20.60797437250494,18.559491861875426,0.14,22.050744553143122,0.45069666958529986,0.01,0.07,40.179562917455314,
0.02,2.0,0.11265432098765431,0.1,0.6299999999999999,0.7099999999999999,20.066471046588433,18.210266734581644,0.23,19.51880880188231,0.8961181510123436,0.01,0.73,19.321278744336926,
0.02,2.0,0.017018779342723007,0.1,0.6299999999999999,0.7099999999999999,20.541406919695678,18.51750693981457,0.18,21.6001304991255,0.4981720238354648,0.01,0.29,36.17090895078142,
0.02,2.0,0.2361111111111111,0.1,0.6499999999999999,0.7099999999999999,19.19754975497312,18.12531327463077,0.24,18.49455868312632,1.4179161657063515,0.01,0.85,11.78306412819649,
0.02,2.0,0.024470899470899473,0.1,0.6299999999999999,0.7099999999999999,20.505385040657025,18.494661159211926,0.19,21.35892980774201,0.5264863187397782,0.01,0.37,34.12847437988815,
0.02,2.0,0.009146341463414634,0.1,0.6299999999999999,0.7099999999999999,20.57924356035002,18.54140906342484,0.16,21.903292276302754,0.470119443979181,0.01,0.18,38.43978344415369,
0.02,2.0,0.007936507936507938,0.1,0.6299999999999999,0.7099999999999999,20.5850379932238,18.54506072809531,0.16,21.91224303652294,0.46606993125302765,0.01,0.16,38.79029644379111,
0.02,2.0,0.007352941176470589,0.1,0.6299999999999999,0.7099999999999999,20.587830993117763,18.54682003614857,0.16,21.916561798646445,0.4641154263242777,0.01,0.15,38.96165389941143,
0.02,2.0,0.0369496855345912,0.1,0.6299999999999999,0.7099999999999999,20.444638199894293,18.455943881183153,0.2,21.035561662519832,0.5761627109451187,0.01,0.47000000000000003,31.032520554668693,
0.02,2.0,0.055232558139534906,0.1,0.6299999999999999,0.7099999999999999,20.354733291492703,18.39822922702606,0.21,20.624167302259284,0.6516997051615073,0.01,0.5700000000000001,27.23114554343173,
