pi0_s1,pi0_s2,pi1_s1,D_ts,phi,ny,x1,sty_ts,D_os,x_os,sty_os,pi0_ratio,pi1_ratio,TS_adv,errors
0.02,0.759493670886076,2.1984767025089664,0.12,0.9299999999999998,0.57,11.395083711438847,7.481528755684762,0.28,10.74245751103731,6.827621068618982,0.026333333333333334,0.9814,0.09577386918428465,
0.02,0.7228915662650602,2.1984767025089664,0.14,0.9499999999999998,0.48999999999999994,11.366473625028,7.264352229952678,0.28,10.74245751103731,6.827621068618982,0.027666666666666666,0.9814,0.06396534853713454,
0.02,0.75,2.1984767025089664,0.12,0.9299999999999998,0.57,11.395083711438847,7.4241819150951995,0.28,10.74245751103731,6.827621068618982,0.02666666666666667,0.9814,0.08737462733808155,
0.02,0.7894736842105262,2.1984767025089664,0.12,0.9299999999999998,0.57,11.395083711438847,7.6626240417570575,0.28,10.74245751103731,6.827621068618982,0.025333333333333336,0.9814,0.12229779080387226,
0.02,0.7317073170731707,2.1984767025089664,0.12,0.9299999999999998,0.57,11.395083711438847,7.313684344203119,0.28,10.74245751103731,6.827621068618982,0.027333333333333334,0.9814,0.07119072231734913,
0.02,0.7692307692307692,2.1984767025089664,0.12,0.9299999999999998,0.57,11.395083711438847,7.5403460280843095,0.28,10.74245751103731,6.827621068618982,0.026000000000000002,0.9814,0.10438847620603076,
0.02,0.7407407407407408,2.1984767025089664,0.12,0.9299999999999998,0.57,11.395083711438847,7.368251045878221,0.28,10.74245751103731,6.827621068618982,0.027,0.9814,0.07918277417943931,
0.02,0.7142857142857143,2.1984767025089664,0.14,0.9499999999999998,0.48999999999999994,11.366473625028,7.218817862719885,0.28,10.74245751103731,6.827621068618982,0.028,0.9814,0.05729620759109144,
0.02,0.7792207792207793,2.1984767025089664,0.12,0.9299999999999998,0.57,11.395083711438847,7.600691021844886,0.28,10.74245751103731,6.827621068618982,0.025666666666666667,0.9814,0.11322683925431609,
0.02,0.7999999999999999,2.1984767025089664,0.11,0.9099999999999999,0.6099999999999999,11.456785327953904,7.698358464474044,0.28,10.74245751103731,6.827621068618982,0.025,0.9814,0.12753159366988487,
