x	y
0.006862745098039216	0.679245283018868
0.023529411764705882	1.9811320754716981
0.05816993464052287	    3.8773584905660377
0.10490196078431371	    6.0424528301886795
0.15620915032679739	    7.69811320754717
0.18692810457516337	    8.080188679245284
0.19738562091503267	    8.108490566037736
0.21143790849673202	    8.037735849056604
0.22581699346405226	    7.839622641509434
0.2418300653594771	    7.4575471698113205
0.2591503267973856	    6.820754716981132
0.27581699346405225	    6.014150943396227
0.27581699346405225	    6.014150943396227
0.2924836601307189	    4.952830188679245
0.30653594771241827	    3.8207547169811322
0.32156862745098036	    2.4622641509433962
0.32973856209150326	    1.6132075471698113
0.1310457516339869	    7.018867924528302
0.08169934640522876	    5.023584905660377
0.04084967320261438	    2.9433962264150946
