x,y
0.00671462829736211,    19.303079416531606
0.021262989608313347,	28.20097244732577
0.015107913669064747,	27.325769854132904
0.010911270983213428,	24.06807131280389
0.009232613908872901,	22.220421393841168
0.03245403677058353,	27.47163695299838
0.05343725019984012,    26.353322528363048
0.12897681854516385,	22.852512155591572
0.09624300559552358,	24.505672609400325
0.1510791366906475,	    21.442463533225286
0.17905675459632292,	19.351701782820097
0.2050759392486011, 	17.115072933549435
0.22885691446842524,	14.878444084278769
0.2523581135091926,	    12.301458670988655
0.2722222222222222,	    10.064829821717991
0.2876099120703437,	    8.07131280388979
0.30887290167865705,	5.251215559157212
0.3292965627498001,	    2.2852512155591573
