t [h], PHB_R1, PHB_R2, PHB_R3, PHB_R4, PHB_R5

23.036649214659686, 6.433470507544581, 6.433470507544581, 6.433470507544581, 6.433470507544581, 6.433470507544581
42.931937172774866, 2.784636488340192, 19.492455418381343, 14.403292181069958, 18.628257887517147, 21.22085048010974 
68.06282722513089, 0.2880658436213992, 20.260631001371742, 29.766803840877913, 32.071330589849104, 34.1838134430727
98.42931937172774, 1.056241426611797, 19.300411522633745,  34.4718792866941, 38.98491083676269, 38.98491083676269 
116.2303664921466, 0.19204389574759945, 15.747599451303154, 37.92866941015089, 49.83539094650206, 50.699588477366255
139.2670157068063, 0.2880658436213992, 14.403292181069958, 34.7599451303155, 48.68312757201646, 62.60631001371742 
168.0628272251309, 0.3840877914951989, 13.923182441700959, 35.6241426611797, 49.16323731138546, 58.38134430727023 
190.5759162303665, 3.36076817558299, 15.555555555555555, 36.104252400548695, 49.64334705075446, 65.1028806584362  
211.51832460732984, 1.3443072702331962, 15.939643347050755, 36.104252400548695, 52.331961591220846, 63.08641975308642       
236.64921465968587, 0, 15.171467764060356,  33.6076817558299, 51.65980795610425, 63.470507544581615
259.68586387434556, 0.19204389574759945, 16.131687242798353, 38.50480109739369, 54.34842249657064, 62.60631001371742 
