t [h], CDM_R1, CDM_R2, CDM_R3, CDM_R4, CDM_R5

22.900763358778626,	27.197802197802197, 27.197802197802197, 27.197802197802197, 27.197802197802197, 27.197802197802197
42.93893129770992,	28.18681318681319,  39.80769230769231, 37.82967032967033,  38.57142857142857, 42.28021978021978  
68.1297709923664,	28.18681318681319,  44.87637362637363, 58.22802197802198, 57.11538461538462, 55.01373626373626  
98.47328244274809,	27.445054945054945, 43.145604395604394, 60.329670329670336,61.565934065934066, 59.83516483516484  
116.22137404580151,	27.321428571428573, 44.62912087912088, 62.8021978021978, 72.81593406593407, 70.21978021978022
139.12213740458014,	27.445054945054945, 42.77472527472528, 60.206043956043956, 71.82692307692308, 82.58241758241759  
168.32061068702288,	27.692307692307693, 43.392857142857146, 60.082417582417584,71.7032967032967, 79.61538461538461  
190.0763358778626,	26.20879120879121,  42.28021978021978, 61.19505494505495, 71.45604395604396, 83.07692307692308  
211.2595419847328,	26.20879120879121,  42.40384615384615, 58.104395604395606, 69.60164835164835, 81.96428571428572  
236.4503816793893,	23.736263736263737, 39.18956043956044, 56.744505494505496, 69.10714285714286, 80.48076923076924  
259.35114503816794,	25.837912087912088, 41.043956043956044, 60.082417582417584,69.97252747252747, 79.36813186813187  


